2026-07-15 18:02:00 | job 5226906 | STARTING | age=18s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 18:02:45 | job 5226906 | STARTING | age=63s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 18:03:30 | job 5226906 | STARTING | age=108s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 19:13:19 | job 5226906 | OK | age=799s | last=[Epoch 003/100 | train_loss=0.2822 | val_loss=0.2885 | lr=9.98e-05 | frozen=True | validated=1 | 1046s   mean_dice: 0.568  cancer_dice: 0.610 === Epoch 4: unfroze UNI2-h backbone (lr_backbone=1.00e-05) === ] fail=[]
2026-07-15 19:16:19 | job 5226906 | OK | age=979s | last=[Epoch 003/100 | train_loss=0.2822 | val_loss=0.2885 | lr=9.98e-05 | frozen=True | validated=1 | 1046s   mean_dice: 0.568  cancer_dice: 0.610 === Epoch 4: unfroze UNI2-h backbone (lr_backbone=1.00e-05) === ] fail=[]
2026-07-15 19:19:19 | job 5226906 | OK | age=1159s | last=[Epoch 003/100 | train_loss=0.2822 | val_loss=0.2885 | lr=9.98e-05 | frozen=True | validated=1 | 1046s   mean_dice: 0.568  cancer_dice: 0.610 === Epoch 4: unfroze UNI2-h backbone (lr_backbone=1.00e-05) === ] fail=[]
2026-07-15 19:22:20 | job 5226906 | OK | age=2s | last=[=== Epoch 4: unfroze UNI2-h backbone (lr_backbone=1.00e-05) === Epoch 004/100 | train_loss=0.2908 | val_loss=0.2870 | lr=1.00e-04 | frozen=False | validated=1 | 1338s   mean_dice: 0.565  cancer_dice: 0.587 ] fail=[]
2026-07-15 19:25:20 | job 5226906 | OK | age=182s | last=[=== Epoch 4: unfroze UNI2-h backbone (lr_backbone=1.00e-05) === Epoch 004/100 | train_loss=0.2908 | val_loss=0.2870 | lr=1.00e-04 | frozen=False | validated=1 | 1338s   mean_dice: 0.565  cancer_dice: 0.587 ] fail=[]
2026-07-15 19:28:20 | job 5226906 | OK | age=362s | last=[=== Epoch 4: unfroze UNI2-h backbone (lr_backbone=1.00e-05) === Epoch 004/100 | train_loss=0.2908 | val_loss=0.2870 | lr=1.00e-04 | frozen=False | validated=1 | 1338s   mean_dice: 0.565  cancer_dice: 0.587 ] fail=[]
2026-07-15 19:31:20 | job 5226906 | OK | age=542s | last=[=== Epoch 4: unfroze UNI2-h backbone (lr_backbone=1.00e-05) === Epoch 004/100 | train_loss=0.2908 | val_loss=0.2870 | lr=1.00e-04 | frozen=False | validated=1 | 1338s   mean_dice: 0.565  cancer_dice: 0.587 ] fail=[]
2026-07-15 19:34:20 | job 5226906 | OK | age=722s | last=[=== Epoch 4: unfroze UNI2-h backbone (lr_backbone=1.00e-05) === Epoch 004/100 | train_loss=0.2908 | val_loss=0.2870 | lr=1.00e-04 | frozen=False | validated=1 | 1338s   mean_dice: 0.565  cancer_dice: 0.587 ] fail=[]
2026-07-15 19:37:20 | job 5226906 | OK | age=902s | last=[=== Epoch 4: unfroze UNI2-h backbone (lr_backbone=1.00e-05) === Epoch 004/100 | train_loss=0.2908 | val_loss=0.2870 | lr=1.00e-04 | frozen=False | validated=1 | 1338s   mean_dice: 0.565  cancer_dice: 0.587 ] fail=[]
2026-07-15 19:40:20 | job 5226906 | OK | age=1082s | last=[=== Epoch 4: unfroze UNI2-h backbone (lr_backbone=1.00e-05) === Epoch 004/100 | train_loss=0.2908 | val_loss=0.2870 | lr=1.00e-04 | frozen=False | validated=1 | 1338s   mean_dice: 0.565  cancer_dice: 0.587 ] fail=[]
