id_a,id_b,cos,rank,mutual_nn
07aa24f15ce062d65979b6a8bc7eb3f0,fc2fd27c7f16ed0c6f522ef43f585727,0.972092866897583,1,True
07afad2271546de1802035829d3b507d,11f1519eb38ea10e74539a5d96cc8567,0.9772271513938904,1,True
07d600e3fcbebf7dc75e5335d3563e63,fcf3ef06a3601448061b7b1adda97b89,0.8737832307815552,1774,False
07e16ae47a5154782affc9dc45b50297,2c688d7d92059ab3bac7c190dd6e31cd,0.9750754833221436,1,True
081326594b296d372b9dd3e8af82350a,203256da67cb1aab601d3af3f13d5db5,0.9771885871887207,1,True
08134913a9aa1d541f719e9f356f9378,8302a3549f2fd5a7bf56ee2b26706bc1,0.980538547039032,1,True
082fd0a9f827b00494feb039b53b5500,8d4d03f080d431387a79cfbca4065dbd,0.9766554832458496,1,True
083ab9e2c95fb0ea2b999c592fb41653,946e85479cd3ac3e73f2698c9cf01806,0.9733312726020813,1,True
08459aaedfda0679aab403ababbd6ece,e278dc57dacfed61fa504133fda2d8c1,0.9408413171768188,1,True
0873fff5fceb087574469b8c9312eb3d,58d13c5b7c1d86814e7a9451fef0d9d5,0.991626501083374,1,True
08a8d48ec979f002383f336d988673ca,847db624a7a975df11caca3c97743359,0.9789599776268005,1,True
08ab45297bfe652cc0397f4b37719ba1,8d9bf04e714c959d4c571030c51ee9f5,0.9761273860931396,1,True
08b04f43997889865568c2c0d7bba8ab,128ade97a27c446fb413b1787426760c,0.9703728556632996,1,False
091b756470ae8748ad9384fb9eb73574,b63cd7e9557adcd7ad081fd8bd069539,0.9908109903335571,1,True
09320344c2ed4da7bdf50d9f03b9e0be,21708bb4798bdebb4bffb7414bce44cd,0.9848887920379639,1,True
09471c7d6b4a7b117f7ab3a52d7828c4,473af71fb330ea26e33a3c24eaa14b6f,0.9741686582565308,1,False
095d32f7716c9ff9892a7696d2325ea1,1e781756a0e97724ca9592a7a9d8623d,0.9694609642028809,3,False
0981f547380ba7b05772f3e5685b1beb,8f264374ed3fa427615c1650218e7f21,0.9806736707687378,1,True
098f7f7024f5c0de68e771c7273fc273,91e29de2d26bec1ecc377921c0ff0a50,0.9688076972961426,1,True
099a334f7290f6821e9125c37428157a,1c0fbb1d600f761847294c4b8019edfe,0.979194164276123,1,True
09a9f7497e6ba14eb0a12388ca17540d,a45c077803194bf256f58964f457d5cb,0.9587506055831909,1,True
0a107c91216d62b2543122a46eb26541,2c6b8913a7bae36c8ceb01fbd102d74f,0.9806501865386963,1,True
0a81500dc48b2bb7ee19849502360270,f54428f97db111809016916ab768f667,0.969489574432373,1,True
0a836ea85157d6e0b92371d8ae18a55c,276fe273713496862d1e614288e3f670,0.9631433486938477,1,True
0a848ccbbb065ef5ee59dd01710f8531,cc43f8965a64a1f22b3162b91e7a1bcf,0.9744182825088501,1,True
0a97bd73cd153b33751d43821ff0a400,aef75d4c390d838aabe56e2d601b6a13,0.9886555075645447,1,True
