slide_id,r,n_confident_pixels,plain_mean_g5_share,lse_g5_share,delta_g5_lse_minus_plain
85ec340020fb63c782e84901880e8684,2.0,13818683,0.18529654658928077,0.1269384810946792,-0.05835806549460157
85ec340020fb63c782e84901880e8684,4.0,13818683,0.18529654658928077,0.08943268415988603,-0.09586386242939474
85ec340020fb63c782e84901880e8684,8.0,13818683,0.18529654658928077,0.06485527464449885,-0.12044127194478192
85ec340020fb63c782e84901880e8684,16.0,13818683,0.18529654658928077,0.06611943859584872,-0.11917710799343205
85ec340020fb63c782e84901880e8684,32.0,13818683,0.18529654658928077,0.09371870292715741,-0.09157784366212336
5bccc3ae5587647b3f6b3a1f807bd9ed,2.0,16575151,0.2117130044365557,0.20556136526056384,-0.0061516391759918465
5bccc3ae5587647b3f6b3a1f807bd9ed,4.0,16575151,0.2117130044365557,0.1992003150264154,-0.012512689410140304
5bccc3ae5587647b3f6b3a1f807bd9ed,8.0,16575151,0.2117130044365557,0.18590956295897418,-0.025803441477581512
5bccc3ae5587647b3f6b3a1f807bd9ed,16.0,16575151,0.2117130044365557,0.1579172236657001,-0.05379578077085559
5bccc3ae5587647b3f6b3a1f807bd9ed,32.0,16575151,0.2117130044365557,0.10728367754441707,-0.10442932689213862
6b84c34486bb12dd87599bf6bb5d7bb1,2.0,13803241,0.20421252174443288,0.1631153549933919,-0.041097166751041
6b84c34486bb12dd87599bf6bb5d7bb1,4.0,13803241,0.20421252174443288,0.1473276744738929,-0.056884847270539995
6b84c34486bb12dd87599bf6bb5d7bb1,8.0,13803241,0.20421252174443288,0.16646455132960353,-0.03774797041482936
6b84c34486bb12dd87599bf6bb5d7bb1,16.0,13803241,0.20421252174443288,0.2607352660375143,0.056522744293081406
6b84c34486bb12dd87599bf6bb5d7bb1,32.0,13803241,0.20421252174443288,0.3059836253618735,0.10177110361744063
99962ae11ae7b8de3b7304c55b8581ab,2.0,16684150,0.3722621379890628,0.372307139928578,4.5001939515176836e-05
99962ae11ae7b8de3b7304c55b8581ab,4.0,16684150,0.3722621379890628,0.3722775632888194,1.5425299756566258e-05
99962ae11ae7b8de3b7304c55b8581ab,8.0,16684150,0.3722621379890628,0.3724311198702066,0.00016898188114378154
99962ae11ae7b8de3b7304c55b8581ab,16.0,16684150,0.3722621379890628,0.37303222504458344,0.0007700870555206185
99962ae11ae7b8de3b7304c55b8581ab,32.0,16684150,0.3722621379890628,0.3760570487041755,0.003794910715112676
5121187bc98e8e74d926c47644cdcf7b,2.0,15052387,0.11768285101100942,0.08307147950241371,-0.03461137150859571
5121187bc98e8e74d926c47644cdcf7b,4.0,15052387,0.11768285101100942,0.04875213473861457,-0.06893071627239486
5121187bc98e8e74d926c47644cdcf7b,8.0,15052387,0.11768285101100942,0.020767581553208594,-0.09691526945780082
5121187bc98e8e74d926c47644cdcf7b,16.0,15052387,0.11768285101100942,0.014377743471535835,-0.10330510753947358
5121187bc98e8e74d926c47644cdcf7b,32.0,15052387,0.11768285101100942,0.014306639031244663,-0.10337621197976476
f6ffc86aa0c22f0f0e6bb3b5c3dd79e9,2.0,16586717,0.19260316738902572,0.1849233480963549,-0.007679819292670809
f6ffc86aa0c22f0f0e6bb3b5c3dd79e9,4.0,16586717,0.19260316738902572,0.1770252230516431,-0.015577944337382632
f6ffc86aa0c22f0f0e6bb3b5c3dd79e9,8.0,16586717,0.19260316738902572,0.16074837990113053,-0.03185478748789519
f6ffc86aa0c22f0f0e6bb3b5c3dd79e9,16.0,16586717,0.19260316738902572,0.1283112411897162,-0.06429192619930951
f6ffc86aa0c22f0f0e6bb3b5c3dd79e9,32.0,16586717,0.19260316738902572,0.08113593752854445,-0.11146722986048127
ab17f187d0cf1522c838108906131162,2.0,16637116,0.2813532274863816,0.278676740322717,-0.002676487163664587
ab17f187d0cf1522c838108906131162,4.0,16637116,0.2813532274863816,0.2759185900969663,-0.005434637389415298
ab17f187d0cf1522c838108906131162,8.0,16637116,0.2813532274863816,0.2701327165972387,-0.011220510889142887
ab17f187d0cf1522c838108906131162,16.0,16637116,0.2813532274863816,0.25757062497828453,-0.02378260250809705
ab17f187d0cf1522c838108906131162,32.0,16637116,0.2813532274863816,0.229903932019245,-0.051449295467136585
13f815f5a33a985e3c9a9f2b2e347e5b,2.0,7973039,0.06456366192408387,0.03410023351356656,-0.030463428410517315
13f815f5a33a985e3c9a9f2b2e347e5b,4.0,7973039,0.06456366192408387,0.01585448756114325,-0.04870917436294062
13f815f5a33a985e3c9a9f2b2e347e5b,8.0,7973039,0.06456366192408387,0.0064630333804468814,-0.05810062854363699
13f815f5a33a985e3c9a9f2b2e347e5b,16.0,7973039,0.06456366192408387,0.018245225377193322,-0.04631843654689055
13f815f5a33a985e3c9a9f2b2e347e5b,32.0,7973039,0.06456366192408387,0.1845417293938589,0.11997806746977503
a8351b2fcaeee06e74f4481b7930cc78,2.0,9881692,0.2802665067918121,0.2730702587746547,-0.007196248017157403
a8351b2fcaeee06e74f4481b7930cc78,4.0,9881692,0.2802665067918121,0.26525373442453004,-0.015012772367282046
a8351b2fcaeee06e74f4481b7930cc78,8.0,9881692,0.2802665067918121,0.24778313104427133,-0.03248337574754076
a8351b2fcaeee06e74f4481b7930cc78,16.0,9881692,0.2802665067918121,0.2074211509503672,-0.07284535584144489
a8351b2fcaeee06e74f4481b7930cc78,32.0,9881692,0.2802665067918121,0.14782555215361282,-0.13244095463819927
f93152017b2e6dc0e9c6dbbf0400d438,2.0,16428220,0.18054814217861523,0.11747354436070412,-0.06307459781791111
